fstat	df	pvalue
33.9	20	1.071752e-05
33.9	21	8.852938e-06
33.9	22	7.38631e-06
33.9	23	6.219606e-06
33.9	24	5.281784e-06
33.9	25	4.520655e-06
33.9	26	3.897398e-06
33.9	27	3.382792e-06
33.9	28	2.954606e-06
33.9	29	2.595753e-06
33.9	30	2.292975e-06
34	1	0.1081275
34	2	0.02817468
34	3	0.01004797
34	4	0.004310207
34	5	0.002097213
34	6	0.00111998
34	7	0.0006429293
34	8	0.0003911411
34	9	0.0002496206
34	10	0.0001658355
34	11	0.0001140132
34	12	8.073851e-05
34	13	5.866965e-05
34	14	4.361219e-05
34	15	3.307844e-05
34	16	2.554369e-05
34	17	2.004579e-05
34	18	1.596166e-05
34	19	1.287819e-05
34	20	1.051569e-05
34	21	8.681108e-06
34	22	7.238832e-06
34	23	6.092082e-06
34	24	5.170751e-06
34	25	4.423361e-06
34	26	3.811633e-06
34	27	3.30677e-06
34	28	2.886871e-06
34	29	2.535108e-06
34	30	2.238432e-06
34.1	1	0.1079719
34.1	2	0.02809551
34.1	3	0.01000667
34.1	4	0.00428718
34.1	5	0.002083557
34.1	6	0.001111444
34.1	7	0.0006373506
34.1	8	0.0003873543
34.1	9	0.000246965
34.1	10	0.0001639198
34.1	11	0.0001125968
34.1	12	7.966822e-05
34.1	13	5.784514e-05
34.1	14	4.296599e-05
34.1	15	3.256411e-05
34.1	16	2.512858e-05
34.1	17	1.970652e-05
34.1	18	1.568117e-05
34.1	19	1.264386e-05
34.1	20	1.031805e-05
34.1	21	8.512928e-06
34.1	22	7.094565e-06
34.1	23	5.967399e-06
34.1	24	5.062246e-06
34.1	25	4.328326e-06
34.1	26	3.727898e-06
34.1	27	3.232581e-06
34.1	28	2.820798e-06
34.1	29	2.475977e-06
34.1	30	2.185273e-06
34.2	1	0.1078169
34.2	2	0.02801678
34.2	3	0.009965657
34.2	4	0.004264338
34.2	5	0.002070025
34.2	6	0.001102995
34.2	7	0.000631834
34.2	8	0.0003836132
34.2	9	0.0002443439
34.2	10	0.0001620307
34.2	11	0.0001112012
34.2	12	7.861445e-05
34.2	13	5.703397e-05
34.2	14	4.233072e-05
34.2	15	3.205884e-05
34.2	16	2.472105e-05
34.2	17	1.937365e-05
34.2	18	1.540615e-05
34.2	19	1.241424e-05
34.2	20	1.012448e-05
34.2	21	8.348314e-06
34.2	22	6.953431e-06
34.2	23	5.845487e-06
34.2	24	4.956205e-06
34.2	25	4.235495e-06
34.2	26	3.646144e-06
34.2	27	3.16018e-06
34.2	28	2.756345e-06
34.2	29	2.41832e-06
34.2	30	2.13346e-06
34.3	1	0.1076626
34.3	2	0.02793849
34.3	3	0.009924921
34.3	4	0.004241677
34.3	5	0.002056616
34.3	6	0.001094631
34.3	7	0.0006263787
34.3	8	0.0003799172
34.3	9	0.0002417567
34.3	10	0.0001601677
34.3	11	0.000109826
34.3	12	7.757692e-05
34.3	13	5.623592e-05
34.3	14	4.170617e-05
34.3	15	3.156243e-05
34.3	16	2.432095e-05
34.3	17	1.904706e-05
34.3	18	1.513648e-05
34.3	19	1.218922e-05
34.3	20	9.934906e-06
34.3	21	8.187183e-06
34.3	22	6.815359e-06
34.3	23	5.726281e-06
34.3	24	4.85257e-06
34.3	25	4.144813e-06
34.3	26	3.56632e-06
34.3	27	3.089519e-06
34.3	28	2.693468e-06
34.3	29	2.362098e-06
34.3	30	2.082956e-06
34.4	1	0.107509
34.4	2	0.02786063
34.4	3	0.009884461
34.4	4	0.004219196
34.4	5	0.002043328
34.4	6	0.001086351
34.4	7	0.0006209838
34.4	8	0.0003762657
34.4	9	0.0002392029
34.4	10	0.0001583303
34.4	11	0.0001084708
34.4	12	7.655535e-05
34.4	13	5.545073e-05
34.4	14	4.109214e-05
34.4	15	3.107473e-05
34.4	16	2.392813e-05
34.4	17	1.872662e-05
34.4	18	1.487205e-05
34.4	19	1.196871e-05
34.4	20	9.749233e-06
34.4	21	8.029456e-06
34.4	22	6.680275e-06
34.4	23	5.609716e-06
34.4	24	4.75128e-06
34.4	25	4.056227e-06
34.4	26	3.488376e-06
34.4	27	3.020554e-06
34.4	28	2.632128e-06
34.4	29	2.307272e-06
34.4	30	2.033728e-06
34.5	1	0.107356
34.5	2	0.02778321
34.5	3	0.009844276
34.5	4	0.004196894
34.5	5	0.00203016
34.5	6	0.001078155
34.5	7	0.0006156486
34.5	8	0.0003726579
34.5	9	0.0002366821
34.5	10	0.0001565182
34.5	11	0.0001071354
34.5	12	7.554945e-05
34.5	13	5.467818e-05
34.5	14	4.048843e-05
34.5	15	3.059556e-05
34.5	16	2.354243e-05
34.5	17	1.84122e-05
34.5	18	1.461275e-05
34.5	19	1.17526e-05
34.5	20	9.567375e-06
34.5	21	7.875055e-06
34.5	22	6.54811e-06
34.5	23	5.495728e-06
34.5	24	4.65228e-06
34.5	25	3.969685e-06
34.5	26	3.412266e-06
34.5	27	2.953242e-06
34.5	28	2.572284e-06
34.5	29	2.253805e-06
34.5	30	1.98574e-06
34.6	1	0.1072037
34.6	2	0.02770622
34.6	3	0.009804363
34.6	4	0.004174768
34.6	5	0.002017111
34.6	6	0.001070041
34.6	7	0.0006103722
34.6	8	0.0003690933
34.6	9	0.0002341937
34.6	10	0.0001547309
34.6	11	0.0001058194
34.6	12	7.455896e-05
34.6	13	5.391804e-05
34.6	14	3.989484e-05
34.6	15	3.012476e-05
34.6	16	2.316373e-05
34.6	17	1.810368e-05
34.6	18	1.435847e-05
34.6	19	1.15408e-05
34.6	20	9.389244e-06
34.6	21	7.723903e-06
34.6	22	6.418795e-06
34.6	23	5.384255e-06
34.6	24	4.555513e-06
34.6	25	3.885135e-06
34.6	26	3.337944e-06
34.6	27	2.88754e-06
34.6	28	2.513897e-06
34.6	29	2.201663e-06
34.6	30	1.938959e-06
34.7	1	0.107052
34.7	2	0.02762966
34.7	3	0.009764718
34.7	4	0.004152817
34.7	5	0.002004179
34.7	6	0.001062008
34.7	7	0.0006051538
34.7	8	0.0003655713
34.7	9	0.0002317372
34.7	10	0.0001529681
34.7	11	0.0001045225
34.7	12	7.358359e-05
34.7	13	5.317007e-05
34.7	14	3.931119e-05
34.7	15	2.966216e-05
34.7	16	2.279187e-05
34.7	17	1.780092e-05
34.7	18	1.41091e-05
34.7	19	1.133322e-05
34.7	20	9.214759e-06
34.7	21	7.575926e-06
34.7	22	6.292264e-06
34.7	23	5.275239e-06
34.7	24	4.460925e-06
34.7	25	3.802529e-06
34.7	26	3.265363e-06
34.7	27	2.823408e-06
34.7	28	2.456929e-06
34.7	29	2.150809e-06
34.7	30	1.893353e-06
34.8	1	0.1069009
34.8	2	0.02755351
34.8	3	0.009725341
34.8	4	0.004131039
34.8	5	0.001991363
34.8	6	0.001054055
34.8	7	0.0005999927
34.8	8	0.0003620912
34.8	9	0.0002293122
34.8	10	0.0001512294
34.8	11	0.0001032443
34.8	12	7.262309e-05
34.8	13	5.243406e-05
34.8	14	3.873728e-05
34.8	15	2.92076e-05
34.8	16	2.242672e-05
34.8	17	1.750382e-05
34.8	18	1.386454e-05
34.8	19	1.112976e-05
34.8	20	9.043838e-06
34.8	21	7.431051e-06
34.8	22	6.168453e-06
34.8	23	5.16862e-06
34.8	24	4.368463e-06
34.8	25	3.721819e-06
34.8	26	3.194482e-06
34.8	27	2.760804e-06
34.8	28	2.401344e-06
34.8	29	2.101211e-06
34.8	30	1.848891e-06
34.9	1	0.1067505
34.9	2	0.02747779
34.9	3	0.009686227
34.9	4	0.004109431
34.9	5	0.001978662
34.9	6	0.001046182
34.9	7	0.0005948881
34.9	8	0.0003586524
34.9	9	0.0002269181
34.9	10	0.0001495143
34.9	11	0.0001019846
34.9	12	7.167719e-05
34.9	13	5.170979e-05
34.9	14	3.817294e-05
34.9	15	2.876092e-05
34.9	16	2.206815e-05
34.9	17	1.721226e-05
34.9	18	1.362469e-05
34.9	19	1.093033e-05
34.9	20	8.876401e-06
34.9	21	7.289209e-06
34.9	22	6.047297e-06
34.9	23	5.064342e-06
34.9	24	4.278076e-06
34.9	25	3.642957e-06
34.9	26	3.125256e-06
34.9	27	2.699691e-06
34.9	28	2.347106e-06
34.9	29	2.052834e-06
34.9	30	1.805542e-06
35	1	0.1066008
35	2	0.02740247
35	3	0.009647375
35	4	0.004087993
35	5	0.001966073
35	6	0.001038387
35	7	0.0005898392
35	8	0.0003552544
35	9	0.0002245545
35	10	0.0001478226
35	11	0.000100743
35	12	7.074566e-05
35	13	5.099705e-05
35	14	3.761798e-05
35	15	2.832198e-05
35	16	2.171601e-05
35	17	1.692612e-05
35	18	1.338944e-05
35	19	1.073485e-05
35	20	8.712371e-06
35	21	7.150329e-06
35	22	5.928735e-06
35	23	4.962349e-06
35	24	4.189714e-06
35	25	3.5659e-06
35	26	3.057645e-06
35	27	2.64003e-06
35	28	2.294179e-06
35	29	2.005648e-06
35	30	1.763277e-06
35.1	1	0.1064516
35.1	2	0.02732758
35.1	3	0.009608781
35.1	4	0.004066722
35.1	5	0.001953597
35.1	6	0.001030669
35.1	7	0.0005848453
35.1	8	0.0003518966
35.1	9	0.000222221
35.1	10	0.0001461537
35.1	11	9.951922e-05
35.1	12	6.982822e-05
35.1	13	5.029563e-05
35.1	14	3.707224e-05
35.1	15	2.789063e-05
35.1	16	2.13702e-05
35.1	17	1.664529e-05
35.1	18	1.31587e-05
35.1	19	1.054323e-05
35.1	20	8.551673e-06
35.1	21	7.014345e-06
35.1	22	5.812707e-06
35.1	23	4.862588e-06
35.1	24	4.103327e-06
35.1	25	3.490601e-06
35.1	26	2.991608e-06
35.1	27	2.581784e-06
35.1	28	2.24253e-06
35.1	29	1.95962e-06
35.1	30	1.722067e-06
35.2	1	0.1063031
35.2	2	0.02725309
35.2	3	0.009570445
35.2	4	0.004045617
35.2	5	0.001941231
35.2	6	0.001023028
35.2	7	0.0005799057
35.2	8	0.0003485784
35.2	9	0.0002199171
35.2	10	0.0001445075
35.2	11	9.831302e-05
35.2	12	6.892465e-05
35.2	13	4.960533e-05
35.2	14	3.653553e-05
35.2	15	2.746671e-05
35.2	16	2.103057e-05
35.2	17	1.636966e-05
35.2	18	1.293237e-05
35.2	19	1.035539e-05
35.2	20	8.394232e-06
35.2	21	6.881192e-06
35.2	22	5.699154e-06
35.2	23	4.765005e-06
35.2	24	4.018869e-06
35.2	25	3.417019e-06
35.2	26	2.927107e-06
35.2	27	2.524918e-06
35.2	28	2.192127e-06
35.2	29	1.914722e-06
35.2	30	1.681883e-06
35.3	1	0.1061552
35.3	2	0.027179
35.3	3	0.009532363
35.3	4	0.004024676
35.3	5	0.001928974
35.3	6	0.001015462
35.3	7	0.0005750197
35.3	8	0.0003452992
35.3	9	0.0002176423
35.3	10	0.0001428835
35.3	11	9.712407e-05
35.3	12	6.803471e-05
35.3	13	4.892595e-05
35.3	14	3.600769e-05
35.3	15	2.705008e-05
35.3	16	2.0697e-05
35.3	17	1.609913e-05
35.3	18	1.271037e-05
35.3	19	1.017124e-05
35.3	20	8.239978e-06
35.3	21	6.750805e-06
35.3	22	5.58802e-06
35.3	23	4.669548e-06
35.3	24	3.936293e-06
35.3	25	3.345111e-06
35.3	26	2.864102e-06
35.3	27	2.469396e-06
35.3	28	2.142937e-06
35.3	29	1.870922e-06
35.3	30	1.642699e-06
35.4	1	0.1060079
35.4	2	0.02710532
35.4	3	0.009494533
35.4	4	0.004003897
35.4	5	0.001916826
35.4	6	0.001007971
35.4	7	0.0005701864
35.4	8	0.0003420586
35.4	9	0.0002153962
35.4	10	0.0001412813
35.4	11	9.595209e-05
35.4	12	6.715815e-05
35.4	13	4.825729e-05
35.4	14	3.548856e-05
35.4	15	2.664061e-05
35.4	16	2.036939e-05
35.4	17	1.583359e-05
35.4	18	1.24926e-05
35.4	19	9.99071e-06
35.4	20	8.088839e-06
35.4	21	6.623121e-06
35.4	22	5.479248e-06
35.4	23	4.576169e-06
35.4	24	3.855554e-06
35.4	25	3.274836e-06
35.4	26	2.802556e-06
35.4	27	2.415185e-06
35.4	28	2.094928e-06
35.4	29	1.828192e-06
35.4	30	1.604489e-06
35.5	1	0.1058612
35.5	2	0.02703203
35.5	3	0.009456952
35.5	4	0.003983278
35.5	5	0.001904784
35.5	6	0.001000553
35.5	7	0.0005654053
35.5	8	0.0003388558
35.5	9	0.0002131784
35.5	10	0.0001397007
35.5	11	9.47968e-05
35.5	12	6.629475e-05
35.5	13	4.759916e-05
35.5	14	3.497797e-05
35.5	15	2.623816e-05
35.5	16	2.00476e-05
35.5	17	1.557294e-05
35.5	18	1.227896e-05
35.5	19	9.813717e-06
35.5	20	7.940746e-06
35.5	21	6.49808e-06
35.5	22	5.372784e-06
35.5	23	4.484819e-06
35.5	24	3.776608e-06
35.5	25	3.206155e-06
35.5	26	2.742435e-06
35.5	27	2.362251e-06
35.5	28	2.048072e-06
35.5	29	1.786506e-06
35.5	30	1.567226e-06
35.6	1	0.1057152
35.6	2	0.02695914
35.6	3	0.009419619
35.6	4	0.003962818
35.6	5	0.001892848
35.6	6	0.0009932074
35.6	7	0.0005606757
35.6	8	0.0003356905
35.6	9	0.0002109885
35.6	10	0.0001381413
35.6	11	9.365793e-05
35.6	12	6.544428e-05
35.6	13	4.695137e-05
35.6	14	3.447576e-05
35.6	15	2.584259e-05
35.6	16	1.973152e-05
35.6	17	1.531708e-05
35.6	18	1.206939e-05
35.6	19	9.640187e-06
35.6	20	7.795634e-06
35.6	21	6.375623e-06
35.6	22	5.268575e-06
35.6	23	4.395449e-06
35.6	24	3.699412e-06
35.6	25	3.139028e-06
35.6	26	2.683701e-06
35.6	27	2.310563e-06
35.6	28	2.002338e-06
35.6	29	1.745835e-06
35.6	30	1.530886e-06
35.7	1	0.1055697
35.7	2	0.02688664
35.7	3	0.009382531
35.7	4	0.003942516
35.7	5	0.001881017
35.7	6	0.0009859339
35.7	7	0.0005559968
35.7	8	0.0003325621
35.7	9	0.000208826
35.7	10	0.0001366027
35.7	11	9.25352e-05
35.7	12	6.460653e-05
35.7	13	4.631375e-05
35.7	14	3.398179e-05
35.7	15	2.545377e-05
35.7	16	1.942105e-05
35.7	17	1.506591e-05
35.7	18	1.186378e-05
35.7	19	9.470046e-06
35.7	20	7.653436e-06
35.7	21	6.255692e-06
35.7	22	5.166569e-06
35.7	23	4.308013e-06
35.7	24	3.623924e-06
35.7	25	3.073419e-06
35.7	26	2.626321e-06
35.7	27	2.260089e-06
35.7	28	1.957697e-06
35.7	29	1.706153e-06
35.7	30	1.495444e-06
35.8	1	0.1054249
35.8	2	0.02681454
35.8	3	0.009345686
35.8	4	0.00392237
35.8	5	0.001869289
35.8	6	0.0009787312
35.8	7	0.0005513681
35.8	8	0.0003294701
35.8	9	0.0002066906
35.8	10	0.0001350846
35.8	11	9.142836e-05
35.8	12	6.378127e-05
35.8	13	4.56861e-05
35.8	14	3.34959e-05
35.8	15	2.507157e-05
35.8	16	1.911606e-05
35.8	17	1.481935e-05
35.8	18	1.166206e-05
35.8	19	9.30322e-06
35.8	20	7.514089e-06
35.8	21	6.138229e-06
35.8	22	5.066716e-06
35.8	23	4.222467e-06
35.8	24	3.550103e-06
35.8	25	3.009289e-06
35.8	26	2.570262e-06
35.8	27	2.210799e-06
35.8	28	1.914123e-06
35.8	29	1.667435e-06
35.8	30	1.460877e-06
35.9	1	0.1052806
35.9	2	0.02674281
35.9	3	0.009309081
35.9	4	0.003902377
35.9	5	0.001857663
35.9	6	0.0009715986
35.9	7	0.0005467888
35.9	8	0.000326414
35.9	9	0.0002045818
35.9	10	0.0001335868
35.9	11	9.033714e-05
35.9	12	6.296829e-05
35.9	13	4.506826e-05
35.9	14	3.301794e-05
35.9	15	2.469587e-05
35.9	16	1.881646e-05
35.9	17	1.457729e-05
35.9	18	1.146415e-05
35.9	19	9.13964e-06
35.9	20	7.377531e-06
35.9	21	6.02318e-06
35.9	22	4.968967e-06
35.9	23	4.138765e-06
35.9	24	3.477911e-06
35.9	25	2.946604e-06
35.9	26	2.51549e-06
35.9	27	2.162662e-06
35.9	28	1.871586e-06
35.9	29	1.629656e-06
35.9	30	1.427162e-06
36	1	0.1051369
36	2	0.02667147
36	3	0.009272715
36	4	0.003882537
36	5	0.001846138
36	6	0.0009645352
36	7	0.0005422583
36	8	0.0003233932
36	9	0.0002024993
36	10	0.0001321089
36	11	8.926129e-05
36	12	6.216739e-05
36	13	4.446004e-05
36	14	3.254776e-05
36	15	2.432655e-05
36	16	1.852213e-05
36	17	1.433964e-05
36	18	1.126997e-05
36	19	8.979235e-06
36	20	7.2437e-06
36	21	5.910491e-06
36	22	4.873273e-06
36	23	4.056866e-06
36	24	3.407308e-06
36	25	2.885328e-06
36	26	2.461975e-06
36	27	2.115651e-06
36	28	1.830062e-06
36	29	1.592791e-06
36	30	1.394277e-06
36.1	1	0.1049938
36.1	2	0.02660051
36.1	3	0.009236585
36.1	4	0.003862848
36.1	5	0.001834713
36.1	6	0.0009575401
36.1	7	0.000537776
36.1	8	0.0003204073
36.1	9	0.0002004427
36.1	10	0.0001306505
36.1	11	8.820057e-05
36.1	12	6.137835e-05
36.1	13	4.386129e-05
36.1	14	3.208522e-05
36.1	15	2.396347e-05
36.1	16	1.823298e-05
36.1	17	1.410632e-05
36.1	18	1.107944e-05
36.1	19	8.82194e-06
36.1	20	7.112537e-06
36.1	21	5.800109e-06
36.1	22	4.779589e-06
36.1	23	3.976727e-06
36.1	24	3.338257e-06
36.1	25	2.825427e-06
36.1	26	2.409685e-06
36.1	27	2.069736e-06
36.1	28	1.789525e-06
36.1	29	1.556817e-06
36.1	30	1.362199e-06
36.2	1	0.1048513
36.2	2	0.02652993
36.2	3	0.009200689
36.2	4	0.003843308
36.2	5	0.001823387
36.2	6	0.0009506125
36.2	7	0.0005333413
36.2	8	0.0003174559
36.2	9	0.0001984115
36.2	10	0.0001292115
36.2	11	8.715472e-05
36.2	12	6.060099e-05
36.2	13	4.327183e-05
36.2	14	3.163019e-05
36.2	15	2.360653e-05
36.2	16	1.79489e-05
36.2	17	1.387724e-05
36.2	18	1.089248e-05
36.2	19	8.667687e-06
36.2	20	6.983985e-06
36.2	21	5.691983e-06
36.2	22	4.687868e-06
36.2	23	3.898308e-06
36.2	24	3.27072e-06
36.2	25	2.766868e-06
36.2	26	2.35859e-06
36.2	27	2.024891e-06
36.2	28	1.749949e-06
36.2	29	1.521711e-06
36.2	30	1.330909e-06
36.3	1	0.1047094
36.3	2	0.02645972
36.3	3	0.009165025
36.3	4	0.003823917
36.3	5	0.001812159
36.3	6	0.0009437516
36.3	7	0.0005289535
36.3	8	0.0003145383
36.3	9	0.0001964055
36.3	10	0.0001277914
36.3	11	8.61235e-05
36.3	12	5.98351e-05
36.3	13	4.269149e-05
36.3	14	3.118253e-05
36.3	15	2.325561e-05
36.3	16	1.76698e-05
36.3	17	1.365231e-05
36.3	18	1.070903e-05
36.3	19	8.516413e-06
36.3	20	6.857986e-06
36.3	21	5.586063e-06
36.3	22	4.598065e-06
36.3	23	3.821568e-06
36.3	24	3.204663e-06
36.3	25	2.70962e-06
36.3	26	2.308661e-06
36.3	27	1.98109e-06
36.3	28	1.711311e-06
36.3	29	1.487451e-06
36.3	30	1.300384e-06
36.4	1	0.104568
36.4	2	0.02638988
36.4	3	0.009129591
36.4	4	0.003804672
36.4	5	0.001801027
36.4	6	0.0009369567
36.4	7	0.000524612
36.4	8	0.0003116543
36.4	9	0.0001944242
36.4	10	0.0001263901
36.4	11	8.510669e-05
36.4	12	5.908048e-05
36.4	13	4.212013e-05
36.4	14	3.07421e-05
36.4	15	2.29106e-05
36.4	16	1.739557e-05
36.4	17	1.343145e-05
36.4	18	1.052901e-05
36.4	19	8.368054e-06
36.4	20	6.734486e-06
36.4	21	5.4823e-06
36.4	22	4.510138e-06
36.4	23	3.74647e-06
36.4	24	3.14005e-06
36.4	25	2.65365e-06
36.4	26	2.25987e-06
36.4	27	1.938305e-06
36.4	28	1.673586e-06
36.4	29	1.454016e-06
36.4	30	1.270606e-06
36.5	1	0.1044273
36.5	2	0.02632041
36.5	3	0.009094385
36.5	4	0.003785572
36.5	5	0.001789991
36.5	6	0.0009302268
36.5	7	0.0005203163
36.5	8	0.0003088032
36.5	9	0.0001924673
36.5	10	0.0001250071
36.5	11	8.410404e-05
36.5	12	5.833695e-05
36.5	13	4.155758e-05
36.5	14	3.030877e-05
36.5	15	2.257138e-05
36.5	16	1.712613e-05
36.5	17	1.321458e-05
36.5	18	1.035234e-05
36.5	19	8.22255e-06
36.5	20	6.61343e-06
36.5	21	5.380646e-06
36.5	22	4.424043e-06
36.5	23	3.672974e-06
36.5	24	3.076848e-06
36.5	25	2.598927e-06
36.5	26	2.212188e-06
36.5	27	1.896512e-06
36.5	28	1.636751e-06
36.5	29	1.421383e-06
36.5	30	1.241555e-06
36.6	1	0.104287
36.6	2	0.0262513
36.6	3	0.009059404
36.6	4	0.003766615
36.6	5	0.001779049
36.6	6	0.0009235613
36.6	7	0.0005160657
36.6	8	0.0003059846
36.6	9	0.0001905344
36.6	10	0.0001236423
36.6	11	8.311534e-05
36.6	12	5.760433e-05
36.6	13	4.100369e-05
36.6	14	2.988241e-05
36.6	15	2.223785e-05
36.6	16	1.686137e-05
36.6	17	1.300163e-05
36.6	18	1.017897e-05
36.6	19	8.079839e-06
36.6	20	6.494766e-06
36.6	21	5.281055e-06
36.6	22	4.33974e-06
36.6	23	3.601044e-06
36.6	24	3.015022e-06
36.6	25	2.545423e-06
36.6	26	2.16559e-06
36.6	27	1.855687e-06
36.6	28	1.600785e-06
36.6	29	1.389532e-06
36.6	30	1.213212e-06
36.7	1	0.1041474
36.7	2	0.02618256
36.7	3	0.009024647
36.7	4	0.0037478
36.7	5	0.0017682
36.7	6	0.0009169593
36.7	7	0.0005118597
36.7	8	0.0003031982
36.7	9	0.0001886252
36.7	10	0.0001222953
36.7	11	8.214035e-05
36.7	12	5.688242e-05
36.7	13	4.04583e-05
36.7	14	2.94629e-05
36.7	15	2.190989e-05
36.7	16	1.660122e-05
36.7	17	1.27925e-05
36.7	18	1.000882e-05
36.7	19	7.939863e-06
36.7	20	6.378441e-06
36.7	21	5.183482e-06
36.7	22	4.257188e-06
36.7	23	3.530644e-06
36.7	24	2.954542e-06
36.7	25	2.493107e-06
36.7	26	2.120048e-06
36.7	27	1.815804e-06
36.7	28	1.565665e-06
36.7	29	1.358445e-06
36.7	30	1.185559e-06
36.8	1	0.1040083
36.8	2	0.02611417
36.8	3	0.008990112
36.8	4	0.003729126
36.8	5	0.001757445
36.8	6	0.0009104201
36.8	7	0.0005076976
36.8	8	0.0003004435
36.8	9	0.0001867394
36.8	10	0.000120966
36.8	11	8.117886e-05
36.8	12	5.617106e-05
36.8	13	3.992128e-05
36.8	14	2.905011e-05
36.8	15	2.158741e-05
36.8	16	1.634557e-05
36.8	17	1.258713e-05
36.8	18	9.841826e-06
36.8	19	7.802565e-06
36.8	20	6.264407e-06
36.8	21	5.087881e-06
36.8	22	4.176348e-06
36.8	23	3.461739e-06
36.8	24	2.895375e-06
36.8	25	2.441952e-06
36.8	26	2.075536e-06
36.8	27	1.776842e-06
36.8	28	1.53137e-06
36.8	29	1.3281e-06
36.8	30	1.158578e-06
36.9	1	0.1038698
36.9	2	0.02604614
36.9	3	0.008955797
36.9	4	0.003710592
36.9	5	0.00174678
36.9	6	0.000903943
36.9	7	0.0005035791
36.9	8	0.0002977199
36.9	9	0.0001848766
36.9	10	0.0001196539
36.9	11	8.023066e-05
36.9	12	5.547006e-05
36.9	13	3.939247e-05
36.9	14	2.864392e-05
36.9	15	2.127031e-05
36.9	16	1.609435e-05
36.9	17	1.238544e-05
36.9	18	9.677926e-06
36.9	19	7.667888e-06
36.9	20	6.152613e-06
36.9	21	4.994209e-06
36.9	22	4.097181e-06
36.9	23	3.394295e-06
36.9	24	2.83749e-06
36.9	25	2.39193e-06
36.9	26	2.032031e-06
36.9	27	1.738778e-06
36.9	28	1.497879e-06
36.9	29	1.298479e-06
36.9	30	1.132252e-06
37	1	0.1037318
37	2	0.02597847
37	3	0.008921699
37	4	0.003692195
37	5	0.001736206
37	6	0.0008975273
37	7	0.0004995033
37	8	0.0002950272
37	9	0.0001830365
37	10	0.0001183589
37	11	7.929552e-05
37	12	5.477926e-05
37	13	3.887173e-05
37	14	2.824422e-05
37	15	2.095847e-05
37	16	1.584747e-05
37	17	1.218736e-05
37	18	9.517055e-06
37	19	7.535779e-06
37	20	6.043012e-06
37	21	4.902425e-06
37	22	4.01965e-06
37	23	3.328278e-06
37	24	2.780859e-06
37	25	2.343013e-06
37	26	1.989506e-06
37	27	1.701588e-06
37	28	1.465173e-06
37	29	1.269565e-06
37	30	1.106563e-06
37.1	1	0.1035943
37.1	2	0.02591114
37.1	3	0.008887818
37.1	4	0.003673935
37.1	5	0.001725721
37.1	6	0.0008911721
37.1	7	0.00049547
37.1	8	0.0002923649
37.1	9	0.0001812187
37.1	10	0.0001170807
37.1	11	7.837325e-05
37.1	12	5.409848e-05
37.1	13	3.835892e-05
37.1	14	2.785088e-05
37.1	15	2.065182e-05
37.1	16	1.560485e-05
37.1	17	1.199281e-05
37.1	18	9.359153e-06
37.1	19	7.406183e-06
37.1	20	5.935557e-06
37.1	21	4.812487e-06
37.1	22	3.943719e-06
37.1	23	3.263655e-06
37.1	24	2.725451e-06
37.1	25	2.295177e-06
37.1	26	1.94794e-06
37.1	27	1.665253e-06
37.1	28	1.433231e-06
37.1	29	1.241338e-06
37.1	30	1.081496e-06
37.2	1	0.1034574
37.2	2	0.02584416
37.2	3	0.00885415
37.2	4	0.00365581
37.2	5	0.001715325
37.2	6	0.0008848768
37.2	7	0.0004914784
37.2	8	0.0002897326
37.2	9	0.0001794229
37.2	10	0.000115819
37.2	11	7.746364e-05
37.2	12	5.342755e-05
37.2	13	3.785392e-05
37.2	14	2.74638e-05
37.2	15	2.035024e-05
37.2	16	1.53664e-05
37.2	17	1.180174e-05
37.2	18	9.204159e-06
37.2	19	7.279048e-06
37.2	20	5.830201e-06
37.2	21	4.724355e-06
37.2	22	3.869351e-06
37.2	23	3.200396e-06
37.2	24	2.671238e-06
37.2	25	2.248394e-06
37.2	26	1.907308e-06
37.2	27	1.62975e-06
37.2	28	1.402036e-06
37.2	29	1.213782e-06
37.2	30	1.057034e-06
37.3	1	0.1033211
37.3	2	0.02577753
37.3	3	0.008820695
37.3	4	0.003637819
37.3	5	0.001705017
37.3	6	0.0008786407
37.3	7	0.0004875281
37.3	8	0.0002871298
37.3	9	0.0001776489
37.3	10	0.0001145737
37.3	11	7.656649e-05
37.3	12	5.276632e-05
37.3	13	3.735657e-05
37.3	14	2.708285e-05
37.3	15	2.005365e-05
37.3	16	1.513204e-05
37.3	17	1.161406e-05
37.3	18	9.052014e-06
37.3	19	7.154323e-06
37.3	20	5.726901e-06
37.3	21	4.637989e-06
37.3	22	3.796511e-06
37.3	23	3.138468e-06
37.3	24	2.618192e-06
37.3	25	2.202641e-06
37.3	26	1.867589e-06
37.3	27	1.59506e-06
37.3	28	1.371567e-06
37.3	29	1.186879e-06
37.3	30	1.033162e-06
37.4	1	0.1031853
37.4	2	0.02571124
37.4	3	0.008787449
37.4	4	0.00361996
37.4	5	0.001694794
37.4	6	0.0008724631
37.4	7	0.0004836186
37.4	8	0.0002845562
37.4	9	0.0001758962
37.4	10	0.0001133443
37.4	11	7.56816e-05
37.4	12	5.211463e-05
37.4	13	3.686675e-05
37.4	14	2.670794e-05
37.4	15	1.976195e-05
37.4	16	1.490171e-05
37.4	17	1.142971e-05
37.4	18	8.902661e-06
37.4	19	7.031958e-06
37.4	20	5.625613e-06
37.4	21	4.55335e-06
37.4	22	3.725166e-06
37.4	23	3.077841e-06
37.4	24	2.566287e-06
37.4	25	2.157892e-06
37.4	26	1.828759e-06
