fstat	df	pvalue
0.8	25	0.379624
0.8	26	0.3792989
0.8	27	0.3789976
0.8	28	0.3787177
0.8	29	0.378457
0.8	30	0.3782134
0.9	1	0.5167609
0.9	2	0.442914
0.9	3	0.4127704
0.9	4	0.3965015
0.9	5	0.3863455
0.9	6	0.3794098
0.9	7	0.374375
0.9	8	0.3705551
0.9	9	0.3675581
0.9	10	0.3651442
0.9	11	0.3631586
0.9	12	0.3614965
0.9	13	0.360085
0.9	14	0.3588714
0.9	15	0.3578168
0.9	16	0.3568918
0.9	17	0.356074
0.9	18	0.3553458
0.9	19	0.3546932
0.9	20	0.3541051
0.9	21	0.3535723
0.9	22	0.3530873
0.9	23	0.3526441
0.9	24	0.3522374
0.9	25	0.3518629
0.9	26	0.3515169
0.9	27	0.3511964
0.9	28	0.3508985
0.9	29	0.350621
0.9	30	0.3503618
1	1	0.5
1	2	0.4226497
1	3	0.3910022
1	4	0.373901
1	5	0.3632175
1	6	0.3559177
1	7	0.3506167
1	8	0.3465935
1	9	0.3434364
1	10	0.3408931
1	11	0.3388007
1	12	0.3370491
1	13	0.3355613
1	14	0.3342819
1	15	0.3331701
1	16	0.332195
1	17	0.3313328
1	18	0.3305649
1	19	0.3298768
1	20	0.3292566
1	21	0.3286947
1	22	0.3281833
1	23	0.3277158
1	24	0.3272869
1	25	0.3268919
1	26	0.326527
1	27	0.3261889
1	28	0.3258747
1	29	0.325582
1	30	0.3253086
1.1	1	0.4848367
1.1	2	0.4043166
1.1	3	0.3713083
1.1	4	0.353454
1.1	5	0.3422932
1.1	6	0.334664
1.1	7	0.329122
1.1	8	0.324915
1.1	9	0.3216131
1.1	10	0.3189527
1.1	11	0.3167636
1.1	12	0.3149309
1.1	13	0.3133741
1.1	14	0.3120354
1.1	15	0.3108718
1.1	16	0.3098512
1.1	17	0.3089488
1.1	18	0.3081451
1.1	19	0.3074248
1.1	20	0.3067756
1.1	21	0.3061874
1.1	22	0.305652
1.1	23	0.3051626
1.1	24	0.3047136
1.1	25	0.3043001
1.1	26	0.3039181
1.1	27	0.3035641
1.1	28	0.3032351
1.1	29	0.3029286
1.1	30	0.3026424
1.2	1	0.4710227
1.2	2	0.3876276
1.2	3	0.3533875
1.2	4	0.3348523
1.2	5	0.3232602
1.2	6	0.3153336
1.2	7	0.3095742
1.2	8	0.3052014
1.2	9	0.3017687
1.2	10	0.2990027
1.2	11	0.2967265
1.2	12	0.2948207
1.2	13	0.2932018
1.2	14	0.2918094
1.2	15	0.2905993
1.2	16	0.2895377
1.2	17	0.2885991
1.2	18	0.2877631
1.2	19	0.2870138
